SKU	Brand	Line	Vitola	Country	Tier	Strength	Body	Flavor Family	Occasion	Smoke Time	Pairing Affinity	Wrapper	Binder	Filler	Notes	Wrapper Role	Binder Role	Filler Role	Flavor Notes	Best For	Avoid If	Why Recommend	Recommendation Confidence	Source Confidence	Beginner Safe	Image URL	Article Source	MSRP USD	Length	Ring Gauge	Shape	Stick Size	Catalog Line	Member Blurb	Price Note	Size Note	CA Rating	CA List Year	CA List	CA Rank	Data Grade (1-10)
CUR-20-ASHTON-VSG-TORP	Ashton	VSG	Torpedo	Honduras	5	4	Medium-Full	Woodsy	After dinner	90 min	Bourbon	Ecuador Sumatra	Honduras	Dominican Republic / Nicaragua	Sterlon pilot rail (cigars.js). Teaches VSG in Torpedo - Honduras character, construction, and hall-of-fame reference status.	Ecuador Sumatra wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Dominican Republic / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	roasted coffee, tobacco, earthy, cedar	Verified against https://www.cigaraficionado.com/ratings/14125/name/ashton-virgin-sun-grown-torpedo-figurado.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, VSG, or asks for a medium-full woodsy reference.	High	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/ratings/14125/name/ashton-virgin-sun-grown-torpedo-figurado	9.	6.	54.	Toro	6 × 54 · Toro	Perdomo 10th Anniversary Champagne Epicure · 6 × 54 · Toro · Medium · Nicaragua · $9 · Notes: cream, cedar, nuts, toast	Perdomo 10th Anniversary Champagne epicure — silky Ecuador Connecticut, cream, cedar, and nuts. Mild sprint smoke; not the 30th Sun Grown on our list.		Champagne = Connecticut wrapper; CA24-16 is 30th Anniversary Sun Grown.					10
BB24-10-BOLIVAR-COF	Bolivar	Cofradia	Petit Corona	Honduras	2	3	Medium	Woodsy	Quick lunch break	45 min	Coffee	Honduras	Honduras	Honduras / Nicaragua	Cigar Aficionado 2024 Best Buy, rated 89 (≤$7 MSRP). Teaches Cofradia in Petit Corona - value Honduras pick for budget-conscious smokers.	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/bolivar-cofradia-petit-corona-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $5' requests - cite CA 2024 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/bolivar-cofradia-petit-corona-2024	18.	6.	60.	Grand Robusto	6 × 60 · Grand Robusto	My Father The Judge Grand Robusto · 6 × 60 · Grand Robusto · Full · Nicaragua · $18 · Notes: cocoa, coffee, earth, dark sweetness	2024 Cigar of the Year — Pepín Garcia family story in a 60-ring grand robusto. Cocoa, leather, and layered Nicaraguan power built for cognac nights.			89	2024	Best Buy		10
BB25-21-BOLIVAR-ROB	Bolivar	Cofradia	Robusto	Honduras	3	3	Medium	Woodsy	Quick lunch break	60 min	Coffee	Honduras	Honduras	Honduras / Nicaragua	Cigar Aficionado 2025 Best Buy, rated 88 (≤$7 MSRP). Teaches Cofradia in Robusto - value Honduras pick for budget-conscious smokers.	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/bolivar-cofradia-robusto-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2025 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/bolivar-cofradia-robusto-2025	16.	6.	52.	Toro	6 × 52 · Toro	Montecristo 1935 Anniversary Nicaragua Espeso · 6 × 52 · Toro · Medium-Full · Nicaragua · $16 · Notes: cedar, baking spice, sweet tobacco, toast	Montecristo’s Nicaraguan anniversary line — polished spice and cedar over modern Nicaraguan body. Espeso format smokes richer than a standard toro.			88	2025	Best Buy		10
CA24-10-BRICK-CHURCH	Brick House	Brick House	Churchill	Nicaragua	3	3	Medium	Savory	Quick lunch break	90 min	Coffee	Brazil	Honduras	Nicaragua	Cigar Aficionado 2024 #10, rated 94. Teaches Brick House identity in Churchill format - regional character, construction, and Top 25 prestige.	Brazil wrapper sets the top-note character, color, and burn personality for this vitola.	Honduras binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cedar, toasted nuts, earth, cocoa, black pepper	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/brick-house-churchill-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Brick House, or a medium coffee-friendly smoke at this size.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/brick-house-churchill-2024	35.	7.	48.	Churchill	7 × 48 · Churchill	Arturo Fuente Fuente Fuente OpusX Angel's Share Reserva d'Chateau · 7 × 48 · Churchill · Medium-Full · Dominican · $35 · Notes: cedar, baking spice, fruit, cream	Angel's Share OpusX refinement — cedar, fruit, and baking spice with medium-full Opus prestige. For Fuente fans who don't want max strength.			94	2024	Top 25	10	10
BB24-03-BRICK-CORONA	Brick House	Brick House	Corona	Nicaragua	3	3	Medium	Savory	Quick lunch break	45 min	Coffee	Brazil	Honduras	Nicaragua	Cigar Aficionado 2024 Best Buy, rated 91 (≤$7 MSRP). Teaches Brick House in Corona - value Nicaragua pick for budget-conscious smokers.	Brazil wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, toast, earth, nuts, black pepper	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/brick-house-corona-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2024 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/brick-house-corona-2024	14.	6.	50.	Toro	6 × 50 · Toro	Ferio Tego Timeless Supreme 650 · 6 × 50 · Toro · Medium-Full · Nicaragua · $14 · Notes: sweet spice, cedar, cocoa, earth	Plasencia-made boutique Nicaraguan puro — sweet spice, cedar, and polished modern richness. Newer brand with Top 25 credibility.			91	2024	Best Buy		10
BB25-03-BRICK-CORONA	Brick House	Brick House	Corona	Nicaragua	3	3	Medium	Savory	Quick lunch break	45 min	Coffee	Brazil	Honduras	Nicaragua	Cigar Aficionado 2025 Best Buy, rated 91 (≤$7 MSRP). Teaches Brick House in Corona - value Nicaragua pick for budget-conscious smokers.	Brazil wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, toast, earth, nuts, black pepper	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/brick-house-corona-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2025 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/brick-house-corona-2025	12.	5.5	42.	Corona Viva	5½ × 42 · Corona Viva	Drew Estate Liga Privada T52 · 5½ × 42 · Corona Viva · Full · Nicaragua · $12 · Notes: dark spice, leather, earth, espresso	Liga power in a slimmer format — stalk-cut habano spice and espresso without committing to a 6x60. Intense special-occasion window.			91	2025	Best Buy		10
VID-14-BYRON-CH	Byron	19th Century	Churchill	Costa Rica	7	3	Medium	Dessert	Celebration	90 min	Champagne	Ecuador	Costa Rica	Peru / Nicaragua	Sterlon teaching catalog (video transcript). Teaches 19th Century in Churchill - Costa Rica character and Sterlon regional/flavor identity.	Ecuador wrapper sets top-note, color, and burn for this vitola.	Costa Rica binder supports structure and integration with the filler.	Peru / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	caramel, cream, oak, almond, elegant fruit	Verified against https://www.cigaraficionado.com/ratings/26018/name/byron-1850-seleccion-no-1-double-corona.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching 19th Century identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	Medium	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/ratings/25210/name/byron-19th-century-%C3%89pique-poemas-churchill	18.	7.25	52.	Churchill	7¼ × 52 · Churchill	Ashton ESG Churchill · 7¼ × 52 · Churchill · Full · Dominican · $18 · Notes: graham cracker, cedar, cocoa, molasses	Fuente-made estate sun-grown richness — graham, molasses, and cedar with the velvet hammer reputation. Celebration smoke, not a yard-gar.	Multiple vitolas; Churchill MSRP representative.	Line also: Robusto, Toro — ring/length vary.					10
CA25-21-CLE-MADURO	C.L.E.	Maduro	50x5	Honduras	4	6	Full	Dark & Heavy	After dinner	60 min	Bourbon	Mexico	Honduras	Colombia / Honduras	Cigar Aficionado 2025 #21, rated 94. Teaches Honduran C.L.E. identity with Mexican Maduro wrapper, Colombian/Honduran filler, and full-strength profile.	Mexican Maduro wrapper adds dark sweetness, cocoa, and heavier palate weight.	Honduran binder gives structure and Christian Eiroa regional identity.	Colombian and Honduran filler create full strength, earth, and savory depth.	red pepper, cinnamon, ginger, leather, wood	Verified against https://www.cigaraficionado.com/top25cigar/c-l-e-maduro-50x5-2025.	Beginner, nicotine-sensitive user, or user wants light cream.	Recommend when the user wants full-bodied maduro intensity with Honduran identity.	High	Cigar Aficionado 2025 Top 25 review tasting prose	No	https://mshanken.imgix.net/cao/bolt/2025-12/top21-ratingh.jpg	https://www.cigaraficionado.com/top25cigar/c-l-e-maduro-50x5-2025	19.	5.13	42.	Petit Corona	5⅛ × 42 · Petit Corona	Davidoff No. 2 · 5⅛ × 42 · Petit Corona · Medium · Dominican · $19 · Notes: cream, cedar, nuts, toast	The Davidoff that defined modern luxury - cream, floral tea, and refined Dominican balance in a petit corona. Special occasion, not budget.		Classic Davidoff No. 2; HTD-09 is Aniversario line.	94	2025	Top 25	21	10
BB25-23-CLE-MAD-40	C.L.E.	Maduro	40x4	Honduras	3	4	Medium-Full	Coffee	Quick lunch break	30 min	Coffee	San Andrés Maduro	Honduras	Honduras / Nicaragua	Cigar Aficionado 2025 Best Buy, rated 87 (≤$7 MSRP). Teaches Maduro in 40x4 - value Honduras pick for budget-conscious smokers.	San Andrés Maduro wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cocoa, coffee, earth, dark sweetness, cedar	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/c-l-e-maduro-40x4-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $5' requests - cite CA 2025 Best Buy list.	High	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/top25cigar/c-l-e-maduro-40x4-2025	6.	4.	38.	Petit Corona	4 × 38 · Petit Corona	Don Lino Africa Kudu · 4 × 38 · Petit Corona · Medium · Nicaragua · $6 · Notes: earth, savory spice, cedar, cocoa	2025 Best Buy leader - short Nicaraguan with more flavor than the price suggests. Stock for yard-gar and lunch breaks.			87	2025	Best Buy		10
BB24-05-CAIN-DAYTONA	Cain	Daytona	No. 4	Nicaragua	3	2	Medium-Light	Creamy	Morning coffee	45 min	Coffee	Ecuador Connecticut	Nicaragua	Nicaragua	Cigar Aficionado 2024 Best Buy, rated 90 (≤$7 MSRP). Teaches Daytona in No. 4 - value Nicaragua pick for budget-conscious smokers.	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/cain-daytona-no-4-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2024 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/cain-daytona-no-4-2024	12.	6.	54.	Toro	6 × 54 · Toro	Casa Magna Colorado XV Anniversary · 6 × 54 · Toro · Medium-Full · Nicaragua · $12 · Notes: cedar, wood, earth, leather	Colorado XV anniversary — woody Nicaraguan core with celebration-tier richness. Solid bourbon companion.			90	2024	Best Buy		10
CA24-14-CASA-MAGNA-XV	Casa Magna	Colorado XV Anniversary	6 x 54	Nicaragua	5	4	Medium-Full	Woodsy	Celebration	90 min	Bourbon	Nicaragua	Nicaragua	Nicaragua / Honduras	Cigar Aficionado 2024 #14, rated 93. Teaches Colorado XV Anniversary identity in 6 x 54 format - regional character, construction, and Top 25 prestige.	Nicaragua wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua / Honduras filler drives body, strength, and the core flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/casa-magna-colorado-xv-anniversary-6-x-54-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Colorado XV Anniversary, or a medium-full bourbon-friendly smoke at this size.	High	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/top25cigar/casa-magna-colorado-xv-anniversary-6-x-54-2024	15.	6.25	54.	Toro	6¼ × 54 · Toro	E.P. Carrillo Encore Celestial · 6¼ × 54 · Toro · Medium-Full · Nicaragua · $15 · Notes: cedar, wood, earth, leather	E.P. Carrillo’s encore act — woody sweetness and baking spice in a long Celestial format. Celebration cigar with boutique pedigree.			93	2024	Top 25	14	10
BB25-07-CHARTER-HAB-LON	Charter Oak	Connecticut Habano	Lonsdale	Nicaragua	3	3	Medium	Savory	After dinner	90 min	Coffee	Ecuador Habano	Nicaragua	Nicaragua	Cigar Aficionado 2025 Best Buy, rated 90 (≤$7 MSRP). Teaches Connecticut Habano in Lonsdale - value Nicaragua pick for budget-conscious smokers.	Ecuador Habano wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, pepper, toasted nuts, cocoa, sweet spice	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/charter-oak-ct-habano-lonsdale-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2025 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/charter-oak-ct-habano-lonsdale-2025	14.	6.	52.	Toro	6 × 52 · Toro	Rocky Patel Conviction · 6 × 52 · Toro · Medium-Full · Nicaragua · $14 · Notes: earth, savory spice, cedar, cocoa	Rocky Patel’s conviction line — savory Nicaraguan spice and cedar in a classic toro. Modern RP without the heaviest broadleaf bomb.			90	2025	Best Buy		10
BB24-06-CHARTER-OAK	Charter Oak	Connecticut Shade	Rothschild	Nicaragua	3	2	Medium-Light	Creamy	Morning coffee	45 min	Coffee	Ecuador Connecticut	Nicaragua	Nicaragua	Cigar Aficionado 2024 Best Buy, rated 90 (≤$7 MSRP). Teaches Connecticut Shade in Rothschild - value Nicaragua pick for budget-conscious smokers.	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/charter-oak-ct-shade-rothschild-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2024 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/charter-oak-ct-shade-rothschild-2024	16.	6.25	54.	Toro	6¼ × 54 · Toro	Arturo Fuente Don Carlos Eye of the Bull · 6¼ × 54 · Toro · Medium-Full · Dominican · $16 · Notes: cedar, baking spice, sweet tobacco, toast	Don Carlos Eye of the Bull — Cameroon wrapper elegance over Fuente Dominican core. Special-occasion Fuente without OpusX scarcity.			90	2024	Best Buy		10
HTD-10-COHIBA	Cohiba	Dominican / Red Dot	Varies	Dominican Republic	4	4	Medium	Woodsy	Collector	60 min	Scotch	Cameroon	Indonesian Jember	Dominican Piloto Cubano	Level 4 region identity: teaches brand prestige, Cameroon texture, leather, wood, black pepper, and medium Cuban-legacy character.	Cameroon wrapper adds wood, leather texture, and classic aromatic sweetness.	Indonesian Jember binder adds supple body and savory depth under the Cameroon top leaf.	Dominican Piloto Cubano filler provides cedar, cream, black pepper, and medium Cuban-legacy character.	sweet wood, nuts, steely tang	Verified against https://www.cigaraficionado.com/ratings/7738/name/cohiba-robusto-robusto.	User wants creamy mildness only, Cuban island product (clarify: Red Dot is DR-made), or lowest price point.	Recommend for medium-bodied Dominican prestige with Cameroon texture—U.S.-legal alternative to Cuban Cohiba story.	Medium	Cigar Aficionado official review	Maybe	https://www.holts.com/clubhouse/sites/default/files/Cohiba.png	https://www.cigaraficionado.com/ratings/7738/name/cohiba-robusto-robusto	13.	6.	54.	Toro	6 × 54 · Toro	Perdomo 30th Anniversary Sun Grown Epicure · 6 × 54 · Toro · Medium-Full · Nicaragua · $13 · Notes: cedar, baking spice, sweet tobacco, toast	Perdomo 30th sun-grown — Ecuador wrapper sweetness over Nicaraguan filler. Anniversary smoke with approachable MSRP.							10
CUR-14-COHIBA-ROB	Cohiba	Dominican / Red Dot	Robusto	Dominican Republic	4	3	Medium	Woodsy	After dinner	60 min	Scotch	Cameroon	Indonesian Jember	Dominican Piloto Cubano	Curated classic (user list). Teaches Dominican / Red Dot in Robusto - Dominican character, construction, and hall-of-fame reference status.	Cameroon wrapper sets top-note, color, and burn for this vitola.	Indonesian Jember binder supports structure and integration with the filler.	Dominican Piloto Cubano filler drives body, strength, and the flavor arc Sterlon should echo.	sweet wood, nuts, steely tang	Verified against https://www.cigaraficionado.com/ratings/7738/name/cohiba-robusto-robusto.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Dominican / Red Dot, or asks for a medium woodsy reference.	High	Cigar Aficionado official review	Maybe		https://www.cigaraficionado.com/ratings/7738/name/cohiba-robusto-robusto	14.	5.5	50.	Robusto	5½ × 50 · Robusto	Plasencia Cosecha 151 La Musica · 5½ × 50 · Robusto · Medium-Full · Nicaragua · $14 · Notes: cedar, wood, earth, leather	Plasencia Cosecha 151 — Nicaraguan puro wood and rum-friendly spice. Heritage grower brand in a classic robusto.							10
CA24-08-COHIBA-MAD5	Cohiba	Maduro 5	Mágicos	Cuba	7	4	Medium-Full	Dark & Heavy	Collector	60 min	Rum	Cuba	Cuba	Cuba	Cigar Aficionado 2024 #8, rated 94. Teaches Maduro 5 identity in Mágicos format - regional character, construction, and Top 25 prestige.	Cuba wrapper sets the top-note character, color, and burn personality for this vitola.	Cuba binder supports structure, combustion, and integration with the filler stack.	Cuba filler drives body, strength, and the core flavor arc Sterlon should echo.	cocoa, earth, pepper, espresso, dark sweetness	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/cohiba-maduro-5-magicos-2024.	Beginner seeking ultra-mild Connecticut only, or user needs guaranteed U.S. retail when cigar is island Cuban.	Recommend when the user asks for 2024 Top 25 picks, Maduro 5, or a medium-full rum-friendly smoke at this size.	High	Cigar Aficionado official review	No		https://www.cigaraficionado.com/top25cigar/cohiba-maduro-5-magicos-2024	7.	7.	48.	Churchill	7 × 48 · Churchill	El Rey del Mundo Shade Grown · 7 × 48 · Churchill · Medium-Light · Honduras · $7 · Notes: cream, cedar, nuts, toast	Mild shade-grown Churchill under $7 - rare long format on a value list. Cream, cedar, easy draw for relaxed sessions.			94	2024	Top 25	8	10
CUR-04-COHIBA-PIR-E	Cohiba	Pirámides Extra	Pirámides Extra	Cuba	7	4	Medium-Full	Dessert	Collector	90 min	Cognac	Cuba	Cuba	Cuba	Curated classic (user list). Teaches Pirámides Extra in Pirámides Extra - Cuban character, construction, and hall-of-fame reference status.	Cuba wrapper sets top-note, color, and burn for this vitola.	Cuba binder supports structure and integration with the filler.	Cuba filler drives body, strength, and the flavor arc Sterlon should echo.	medium-full, refined, creamy, complex	Verified against https://www.habanos.com/en/news/cohiba-piramides-extra-primer-figurado-en-la-gama-permanente-de-cohiba-en/.	Beginner seeking ultra-mild only, or user needs U.S. retail when cigar is island Cuban.	Recommend when the user cites this hall-of-fame stick, Pirámides Extra, or asks for a medium-full dessert reference.	High	Habanos official	No		https://www.habanos.com/en/news/cohiba-piramides-extra-primer-figurado-en-la-gama-permanente-de-cohiba-en/	7.	4.	44.	Petit Corona	4 × 44 · Petit Corona	Zino Nicaragua · 4 × 44 · Petit Corona · Medium · Honduras · $7 · Notes: cedar, wood, earth, leather	Zino Nicaragua half corona - Davidoff-line Honduran/Nicaraguan wood at value MSRP.		Davidoff Zino Nicaragua line; CUR-09 is Platinum Chubby.					10
CA24-20-COHIBA-RIVIERA	Cohiba	Riviera	Robusto	Dominican Republic	5	3	Medium	Creamy	Celebration	60 min	Coffee	Connecticut Shade	Dominican Republic	Dominican Republic / Nicaragua	Cigar Aficionado 2024 #20, rated 92. Teaches Riviera identity in Robusto format - regional character, construction, and Top 25 prestige.	Connecticut Shade wrapper sets the top-note character, color, and burn personality for this vitola.	Dominican Republic binder supports structure, combustion, and integration with the filler stack.	Dominican Republic / Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/cohiba-riviera-robusto-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Riviera, or a medium coffee-friendly smoke at this size.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/cohiba-riviera-robusto-2024	28.	6.13	52.	Torpedo	6⅛ × 52 · Torpedo	Ashton VSG Torpedo · 6⅛ × 52 · Torpedo · Medium-Full · Honduras · $28 · Notes: cedar, wood, earth, leather	Ashton VSG torpedo - Ecuador Sumatra spice, cedar, and cream over a tapered 52-ring draw. Pilot rail cigar; not the ESG foundation row.		VSG torpedo; HTD-02 is Ashton ESG not VSG.	92	2024	Top 25	20	10
CUR-21-COH-SIGLO-VI	Cohiba	Siglo	Siglo VI	Cuba	7	3	Medium	Creamy	Celebration	90 min	Champagne	Cuba	Cuba	Cuba	Sterlon pilot rail (cigars.js). Teaches Siglo in Siglo VI - Cuban character, construction, and hall-of-fame reference status.	Cuba wrapper sets top-note, color, and burn for this vitola.	Cuba binder supports structure and integration with the filler.	Cuba filler drives body, strength, and the flavor arc Sterlon should echo.	medium, aromatic, complex, creamy	Verified against https://www.habanos.com/en/news/cohiba-siglo-vi-tubos-en/.	Beginner seeking ultra-mild only, or user needs U.S. retail when cigar is island Cuban.	Recommend when the user cites this hall-of-fame stick, Siglo, or asks for a medium creamy reference.	High	Habanos official	Maybe		https://www.habanos.com/en/news/cohiba-siglo-vi-tubos-en/	9.	5.5	54.	Robusto	5½ × 54 · Robusto	A.J. Fernandez San Lotano Oval Oval Robusto · 5½ × 54 · Robusto · Medium · Nicaragua · $9 · Notes: cedar, wood, earth, leather	San Lotano Oval robusto — balanced Nicaraguan cedar and pepper in an oval format. Mid-ladder AJ daily driver.							10
CA25-02-COHIBA-AMBAR	Cohiba	The Cohiba Ambar	Ambar	Cuba	7	5	Medium-Full	Dessert	Collector	90 min	Cognac	Cuba	Cuba	Cuba	Cigar Aficionado 2025 #2, rated 97. Teaches Cuban luxury prestige, barrel-fermented Cohiba filler identity, oak, caramel, almond precision, and elegant fruit finish.	Cuban wrapper supports Cohiba elegance, oak, cream, and luxury aroma.	Cuban binder keeps the puro structure precise and integrated.	Cuban filler provides the Cohiba core, including selected tobacco and extra fermentation character.	oak, caramel, almond, cream, fruit	Verified against https://www.cigaraficionado.com/top25cigar/cohiba-ambar-2025.	User wants legal U.S. retail availability, low price, or beginner mildness.	Recommend when the request centers on Cuban prestige, rarity, and polished luxury flavor.	High	Cigar Aficionado 2025 Top 25 review tasting prose	No	https://mshanken.imgix.net/cao/bolt/2025-12/top2-ratingh.jpg	https://www.cigaraficionado.com/top25cigar/cohiba-ambar-2025	13.	6.	54.	Toro	6 × 54 · Toro	Aganorsa Leaf Aniversario Toro · 6 × 54 · Toro · Medium-Full · Nicaragua · $13 · Notes: cedar, baking spice, sweet tobacco, toast	Aganorsa Aniversario toro — celebration corojo with sweet spice and rum-friendly depth. Step up from Signature Selection.			97	2025	Top 25	2	10
CA25-04-CUESTA-REY-CF	Cuesta-Rey	Centro Fino Sungrown	Pyramid No. 9	Dominican Republic	4	5	Medium-Full	Sweet Spice	After dinner	90 min	Rum	Ecuador	Dominican Republic	Dominican Republic	Cigar Aficionado 2025 #4, rated 95. Teaches Dominican Fuente-made heritage with Ecuadorian Sungrown wrapper depth, bolder Centro Fino character, and pyramid construction.	Ecuadorian Sungrown wrapper adds spice, sweetness, and richer color to a Dominican core.	Dominican binder supports Fuente-made construction and steady burn.	Dominican filler keeps the profile rooted in classic Dominican balance with added sungrown force.	honey, nougat, chocolate, cashew	Verified against https://www.cigaraficionado.com/top25cigar/cuesta-rey-centro-fino-sungrown-pyramid-no-9-2025.	Beginner looking for ultra mild smoke or user dislikes sungrown spice.	Recommend for a Dominican region lesson that is richer than basic foundation cigars.	High	Cigar Aficionado 2025 Top 25 review tasting prose	Maybe	https://mshanken.imgix.net/cao/bolt/2025-12/top4-ratingh.jpg	11.45	11.45	6.	52.	Belicoso	6 × 52 · Belicoso	Sancho Panza Belicoso · 6 × 52 · Belicoso · Full · Cuban · — · Notes: cedar, wood, earth, spice	Off-the-beaten-path Cuban belicoso — cedar, wood, and assertive island strength. For experienced smokers exploring beyond the big names.	Island Cuban; not U.S. retail MSRP.		95	2025	Top 25	4	10
BB25-17-CURI-CT-50	Curivari	Buenaventura Favoritos Connecticut	50	Nicaragua	3	2	Medium-Light	Creamy	Quick lunch break	60 min	Coffee	Ecuador Connecticut	Nicaragua	Nicaragua	Cigar Aficionado 2025 Best Buy, rated 88 (≤$7 MSRP). Teaches Buenaventura Favoritos Connecticut in 50 - value Nicaragua pick for budget-conscious smokers.	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/curivari-buenaventura-favoritos-connecticut-50-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $5' requests - cite CA 2025 Best Buy list.	High	Cigar Aficionado official review	Yes		https://www.cigaraficionado.com/top25cigar/curivari-buenaventura-favoritos-connecticut-50-2025	13.	7.	48.	Churchill	7 × 48 · Churchill	Macanudo Emissary France · 7 × 48 · Churchill · Medium-Full · Honduras · $13 · Notes: savory tobacco, dark sweetness, spice, wood	Macanudo beyond Cafe — French filler twist, broadleaf binder, and savory depth in a Churchill. Proof the brand can do medium-full.			88	2025	Best Buy		10
