SKU	Brand	Line	Vitola	Wrapper	Binder	Filler	Wrapper Role	Binder Role	Filler Role	Flavor Notes	Strength	Tier	MSRP	Length	Ring	Catalog Line	Member Blurb	Best For	Avoid If	Why Recommend	Data Grade	CA Rating	Stick Size	Repr Vitola	Origin	Factory	Beginner Safe
CUR-03-AF-ROSADO-52	Arturo Fuente	Rosado Sungrown	Magnum R Fifty-Two	Ecuador	Dominican Republic	Dominican Republic	Ecuador wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	wood, citrus, cinnamon, almond, sweet	4	5	10.3	5.88	52	Cohiba Siglo Siglo VI · 5.875 × 52 · Toro · Medium · Cuban · — · Notes: cream, cedar, nuts, toast	Cohiba Siglo VI - refined Cuban cream, hay, and subtle cocoa in a 52-ring toro. Habanos icon on the Sterlon pilot menu.	Verified against https://www.cigaraficionado.com/ratings/21651/name/arturo-fuente-rosado-sungrown-magnum-r-vitola-fifty-two.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Rosado Sungrown, or asks for a medium-full sweet spice reference.	10		5.875 × 52 · Toro				Maybe
BB25-06-AF-SPAN-LON-M	Arturo Fuente	Spanish Lonsdale	Maduro	Broadleaf Maduro	Dominican Republic	Dominican Republic	Broadleaf Maduro wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, baking spice, sweet tobacco, toast, light cocoa	4	3	14	6	52	E.P. Carrillo Allegiance Toro · 6 × 52 · Toro · Medium-Full · U.S. · $14 · Notes: cedar, baking spice, sweet tobacco, toast	E.P. Carrillo Allegiance toro — U.S. broadleaf over Sumatra binder for sweet spice and structure. Boutique EPC beyond Encore.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/arturo-fuente-spanish-lonsdale-maduro-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2025 Best Buy list.	10		6 × 52 · Toro				Maybe
HTD-04-ASHTON-CLASSIC	Ashton	Classic	Varies	Connecticut Shade	Dominican Republic	Dominican Republic	Connecticut Shade wrapper delivers cream, cedar, almond, and soft sweetness with premium Dominican polish.	Dominican binder maintains smooth burn and Fuente-made consistency.	Dominican filler provides gentle body, nuts, light spice, and reliable mild-to-medium character.	cream, nuts, cedar, coffee, light sweetness	2	3	9	5	52	La Aroma de Cuba Original · 5 × 52 · Robusto · Full · Nicaragua · $9 · Notes: roasted peanut, toasted chestnut, coffee, cocoa	My Father-made broadleaf value bomb — roasted nuts, coffee, and pepper in a classic robusto. Strong flavor without boutique sticker shock.	Verified against https://www.cigaraficionado.com/ratings/8963/name/ashton-classic-churchill.	User wants pepper-forward power, dark maduro body, or collector scarcity story.	Recommend when the user needs a polished, beginner-safe Dominican Connecticut profile.	10		5 × 52 · Robusto				Yes
HTD-02-ASHTON-ESG	Ashton	ESG	Varies	Dominican Sun Grown	Dominican Republic	Dominican Republic	Dominican sun-grown wrapper adds caramelized sweetness, graham, and restrained spice from Fuente estate leaf.	Dominican binder keeps the all-Dominican blend coherent and elegantly constructed.	Dominican filler supplies cedar, molasses, cocoa, and medium-full body with signature Fuente polish.	molasses, cocoa, coffee, cedar, sweet spice	6	6	11	6.5	58	Flor de las Antillas · 6½ × 58 · Toro Gordo · Medium-Full · Nicaragua · $11 · Notes: cedar, baking spice, sweet tobacco, toast	Jose Garcia award-winner - sweet spice, cedar, and Nicaraguan sun-grown richness in a 58-ring toro gordo. Rum-friendly crowd pleaser.	Verified against https://www.cigaraficionado.com/ratings/16503/name/ashton-estate-sungrown-churchill.	Beginner on empty stomach, user wants mild Connecticut cream only, or lowest nicotine.	"Recommend as a top-tier Dominican reserve—rich, smooth, and celebratory (often called the ""velvet hammer"")."	10		6½ × 58 · Toro Gordo				No
CUR-20-ASHTON-VSG-TORP	Ashton	VSG	Torpedo	Ecuador Sumatra	Honduras	Dominican Republic / Nicaragua	Ecuador Sumatra wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Dominican Republic / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	roasted coffee, tobacco, earthy, cedar	5	5	9	6	54	Perdomo 10th Anniversary Champagne Epicure · 6 × 54 · Toro · Medium · Nicaragua · $9 · Notes: cream, cedar, nuts, toast	Perdomo 10th Anniversary Champagne epicure — silky Ecuador Connecticut, cream, cedar, and nuts. Mild sprint smoke; not the 30th Sun Grown on our list.	Verified against https://www.cigaraficionado.com/ratings/14125/name/ashton-virgin-sun-grown-torpedo-figurado.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, VSG, or asks for a medium-full woodsy reference.	10		6 × 54 · Toro				Maybe
BB24-10-BOLIVAR-COF	Bolivar	Cofradia	Petit Corona	Honduras	Honduras	Honduras / Nicaragua	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	3	2	18	6	60	My Father The Judge Grand Robusto · 6 × 60 · Grand Robusto · Full · Nicaragua · $18 · Notes: cocoa, coffee, earth, dark sweetness	2024 Cigar of the Year — Pepín Garcia family story in a 60-ring grand robusto. Cocoa, leather, and layered Nicaraguan power built for cognac nights.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/bolivar-cofradia-petit-corona-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $5' requests - cite CA 2024 Best Buy list.	10		6 × 60 · Grand Robusto				Yes
BB25-21-BOLIVAR-ROB	Bolivar	Cofradia	Robusto	Honduras	Honduras	Honduras / Nicaragua	Honduras wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	3	3	16	6	52	Montecristo 1935 Anniversary Nicaragua Espeso · 6 × 52 · Toro · Medium-Full · Nicaragua · $16 · Notes: cedar, baking spice, sweet tobacco, toast	Montecristo’s Nicaraguan anniversary line — polished spice and cedar over modern Nicaraguan body. Espeso format smokes richer than a standard toro.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/bolivar-cofradia-robusto-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2025 Best Buy list.	10		6 × 52 · Toro				Yes
CA24-10-BRICK-CHURCH	Brick House	Brick House	Churchill	Brazil	Honduras	Nicaragua	Brazil wrapper sets the top-note character, color, and burn personality for this vitola.	Honduras binder supports structure, combustion, and integration with the filler stack.	Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cedar, toasted nuts, earth, cocoa, black pepper	3	3	35	7	48	Arturo Fuente Fuente Fuente OpusX Angel's Share Reserva d'Chateau · 7 × 48 · Churchill · Medium-Full · Dominican · $35 · Notes: cedar, baking spice, fruit, cream	Angel's Share OpusX refinement — cedar, fruit, and baking spice with medium-full Opus prestige. For Fuente fans who don't want max strength.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/brick-house-churchill-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Brick House, or a medium coffee-friendly smoke at this size.	10		7 × 48 · Churchill				Yes
BB24-03-BRICK-CORONA	Brick House	Brick House	Corona	Brazil	Honduras	Nicaragua	Brazil wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, toast, earth, nuts, black pepper	3	3	14	6	50	Ferio Tego Timeless Supreme 650 · 6 × 50 · Toro · Medium-Full · Nicaragua · $14 · Notes: sweet spice, cedar, cocoa, earth	Plasencia-made boutique Nicaraguan puro — sweet spice, cedar, and polished modern richness. Newer brand with Top 25 credibility.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/brick-house-corona-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2024 Best Buy list.	10		6 × 50 · Toro				Yes
BB25-03-BRICK-CORONA	Brick House	Brick House	Corona	Brazil	Honduras	Nicaragua	Brazil wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, toast, earth, nuts, black pepper	3	3	12	5.5	42	Drew Estate Liga Privada T52 · 5½ × 42 · Corona Viva · Full · Nicaragua · $12 · Notes: dark spice, leather, earth, espresso	Liga power in a slimmer format — stalk-cut habano spice and espresso without committing to a 6x60. Intense special-occasion window.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/brick-house-corona-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2025 Best Buy list.	10		5½ × 42 · Corona Viva				Yes
VID-14-BYRON-CH	Byron	19th Century	Churchill	Ecuador	Costa Rica	Peru / Nicaragua	Ecuador wrapper sets top-note, color, and burn for this vitola.	Costa Rica binder supports structure and integration with the filler.	Peru / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	caramel, cream, oak, almond, elegant fruit	3	7	18	7.25	52	Ashton ESG Churchill · 7¼ × 52 · Churchill · Full · Dominican · $18 · Notes: graham cracker, cedar, cocoa, molasses	Fuente-made estate sun-grown richness — graham, molasses, and cedar with the velvet hammer reputation. Celebration smoke, not a yard-gar.	Verified against https://www.cigaraficionado.com/ratings/26018/name/byron-1850-seleccion-no-1-double-corona.	Opposite wrapper lesson needed, or user wants island Cuban only.	Recommend when teaching 19th Century identity, AJ/Aganorsa progression, or transcript-priority catalog coverage.	10		7¼ × 52 · Churchill				Maybe
CA25-21-CLE-MADURO	C.L.E.	Maduro	50x5	Mexico	Honduras	Colombia / Honduras	Mexican Maduro wrapper adds dark sweetness, cocoa, and heavier palate weight.	Honduran binder gives structure and Christian Eiroa regional identity.	Colombian and Honduran filler create full strength, earth, and savory depth.	red pepper, cinnamon, ginger, leather, wood	6	4	19	5.13	42	Davidoff No. 2 · 5⅛ × 42 · Petit Corona · Medium · Dominican · $19 · Notes: cream, cedar, nuts, toast	The Davidoff that defined modern luxury - cream, floral tea, and refined Dominican balance in a petit corona. Special occasion, not budget.	Verified against https://www.cigaraficionado.com/top25cigar/c-l-e-maduro-50x5-2025.	Beginner, nicotine-sensitive user, or user wants light cream.	Recommend when the user wants full-bodied maduro intensity with Honduran identity.	10		5⅛ × 42 · Petit Corona				No
BB25-23-CLE-MAD-40	C.L.E.	Maduro	40x4	San Andrés Maduro	Honduras	Honduras / Nicaragua	San Andrés Maduro wrapper sets top-note, color, and burn for this vitola.	Honduras binder supports structure and integration with the filler.	Honduras / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cocoa, coffee, earth, dark sweetness, cedar	4	3	6	4	38	Don Lino Africa Kudu · 4 × 38 · Petit Corona · Medium · Nicaragua · $6 · Notes: earth, savory spice, cedar, cocoa	2025 Best Buy leader - short Nicaraguan with more flavor than the price suggests. Stock for yard-gar and lunch breaks.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/c-l-e-maduro-40x4-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $5' requests - cite CA 2025 Best Buy list.	10		4 × 38 · Petit Corona				Maybe
BB24-05-CAIN-DAYTONA	Cain	Daytona	No. 4	Ecuador Connecticut	Nicaragua	Nicaragua	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	2	3	12	6	54	Casa Magna Colorado XV Anniversary · 6 × 54 · Toro · Medium-Full · Nicaragua · $12 · Notes: cedar, wood, earth, leather	Colorado XV anniversary — woody Nicaraguan core with celebration-tier richness. Solid bourbon companion.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/cain-daytona-no-4-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2024 Best Buy list.	10		6 × 54 · Toro				Yes
CA24-14-CASA-MAGNA-XV	Casa Magna	Colorado XV Anniversary	6 x 54	Nicaragua	Nicaragua	Nicaragua / Honduras	Nicaragua wrapper sets the top-note character, color, and burn personality for this vitola.	Nicaragua binder supports structure, combustion, and integration with the filler stack.	Nicaragua / Honduras filler drives body, strength, and the core flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	4	5	15	6.25	54	E.P. Carrillo Encore Celestial · 6¼ × 54 · Toro · Medium-Full · Nicaragua · $15 · Notes: cedar, wood, earth, leather	E.P. Carrillo’s encore act — woody sweetness and baking spice in a long Celestial format. Celebration cigar with boutique pedigree.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/casa-magna-colorado-xv-anniversary-6-x-54-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Colorado XV Anniversary, or a medium-full bourbon-friendly smoke at this size.	10		6¼ × 54 · Toro				Maybe
BB25-07-CHARTER-HAB-LON	Charter Oak	Connecticut Habano	Lonsdale	Ecuador Habano	Nicaragua	Nicaragua	Ecuador Habano wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, pepper, toasted nuts, cocoa, sweet spice	3	3	14	6	52	Rocky Patel Conviction · 6 × 52 · Toro · Medium-Full · Nicaragua · $14 · Notes: earth, savory spice, cedar, cocoa	Rocky Patel’s conviction line — savory Nicaraguan spice and cedar in a classic toro. Modern RP without the heaviest broadleaf bomb.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/charter-oak-ct-habano-lonsdale-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $7' requests - cite CA 2025 Best Buy list.	10		6 × 52 · Toro				Yes
BB24-06-CHARTER-OAK	Charter Oak	Connecticut Shade	Rothschild	Ecuador Connecticut	Nicaragua	Nicaragua	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	2	3	16	6.25	54	Arturo Fuente Don Carlos Eye of the Bull · 6¼ × 54 · Toro · Medium-Full · Dominican · $16 · Notes: cedar, baking spice, sweet tobacco, toast	Don Carlos Eye of the Bull — Cameroon wrapper elegance over Fuente Dominican core. Special-occasion Fuente without OpusX scarcity.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/charter-oak-ct-shade-rothschild-2024.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2024 Best Buy list.	10		6¼ × 54 · Toro				Yes
HTD-10-COHIBA	Cohiba	Dominican / Red Dot	Varies	Cameroon	Indonesian Jember	Dominican Piloto Cubano	Cameroon wrapper adds wood, leather texture, and classic aromatic sweetness.	Indonesian Jember binder adds supple body and savory depth under the Cameroon top leaf.	Dominican Piloto Cubano filler provides cedar, cream, black pepper, and medium Cuban-legacy character.	sweet wood, nuts, steely tang	4	4	13	6	54	Perdomo 30th Anniversary Sun Grown Epicure · 6 × 54 · Toro · Medium-Full · Nicaragua · $13 · Notes: cedar, baking spice, sweet tobacco, toast	Perdomo 30th sun-grown — Ecuador wrapper sweetness over Nicaraguan filler. Anniversary smoke with approachable MSRP.	Verified against https://www.cigaraficionado.com/ratings/7738/name/cohiba-robusto-robusto.	User wants creamy mildness only, Cuban island product (clarify: Red Dot is DR-made), or lowest price point.	Recommend for medium-bodied Dominican prestige with Cameroon texture—U.S.-legal alternative to Cuban Cohiba story.	10		6 × 54 · Toro				Maybe
CUR-14-COHIBA-ROB	Cohiba	Dominican / Red Dot	Robusto	Cameroon	Indonesian Jember	Dominican Piloto Cubano	Cameroon wrapper sets top-note, color, and burn for this vitola.	Indonesian Jember binder supports structure and integration with the filler.	Dominican Piloto Cubano filler drives body, strength, and the flavor arc Sterlon should echo.	sweet wood, nuts, steely tang	3	4	14	5.5	50	Plasencia Cosecha 151 La Musica · 5½ × 50 · Robusto · Medium-Full · Nicaragua · $14 · Notes: cedar, wood, earth, leather	Plasencia Cosecha 151 — Nicaraguan puro wood and rum-friendly spice. Heritage grower brand in a classic robusto.	Verified against https://www.cigaraficionado.com/ratings/7738/name/cohiba-robusto-robusto.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Dominican / Red Dot, or asks for a medium woodsy reference.	10		5½ × 50 · Robusto				Maybe
CA24-08-COHIBA-MAD5	Cohiba	Maduro 5	Mágicos	Cuba	Cuba	Cuba	Cuba wrapper sets the top-note character, color, and burn personality for this vitola.	Cuba binder supports structure, combustion, and integration with the filler stack.	Cuba filler drives body, strength, and the core flavor arc Sterlon should echo.	cocoa, earth, pepper, espresso, dark sweetness	4	7	7	7	48	El Rey del Mundo Shade Grown · 7 × 48 · Churchill · Medium-Light · Honduras · $7 · Notes: cream, cedar, nuts, toast	Mild shade-grown Churchill under $7 - rare long format on a value list. Cream, cedar, easy draw for relaxed sessions.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/cohiba-maduro-5-magicos-2024.	Beginner seeking ultra-mild Connecticut only, or user needs guaranteed U.S. retail when cigar is island Cuban.	Recommend when the user asks for 2024 Top 25 picks, Maduro 5, or a medium-full rum-friendly smoke at this size.	10		7 × 48 · Churchill				No
CUR-04-COHIBA-PIR-E	Cohiba	Pirámides Extra	Pirámides Extra	Cuba	Cuba	Cuba	Cuba wrapper sets top-note, color, and burn for this vitola.	Cuba binder supports structure and integration with the filler.	Cuba filler drives body, strength, and the flavor arc Sterlon should echo.	medium-full, refined, creamy, complex	4	7	7	4	44	Zino Nicaragua · 4 × 44 · Petit Corona · Medium · Honduras · $7 · Notes: cedar, wood, earth, leather	Zino Nicaragua half corona - Davidoff-line Honduran/Nicaraguan wood at value MSRP.	Verified against https://www.habanos.com/en/news/cohiba-piramides-extra-primer-figurado-en-la-gama-permanente-de-cohiba-en/.	Beginner seeking ultra-mild only, or user needs U.S. retail when cigar is island Cuban.	Recommend when the user cites this hall-of-fame stick, Pirámides Extra, or asks for a medium-full dessert reference.	10		4 × 44 · Petit Corona				No
CA24-20-COHIBA-RIVIERA	Cohiba	Riviera	Robusto	Connecticut Shade	Dominican Republic	Dominican Republic / Nicaragua	Connecticut Shade wrapper sets the top-note character, color, and burn personality for this vitola.	Dominican Republic binder supports structure, combustion, and integration with the filler stack.	Dominican Republic / Nicaragua filler drives body, strength, and the core flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	3	5	28	6.13	52	Ashton VSG Torpedo · 6⅛ × 52 · Torpedo · Medium-Full · Honduras · $28 · Notes: cedar, wood, earth, leather	Ashton VSG torpedo - Ecuador Sumatra spice, cedar, and cream over a tapered 52-ring draw. Pilot rail cigar; not the ESG foundation row.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/cohiba-riviera-robusto-2024.	Beginner nicotine-sensitive, very short time window, or user wants opposite body/wrapper style.	Recommend when the user asks for 2024 Top 25 picks, Riviera, or a medium coffee-friendly smoke at this size.	10		6⅛ × 52 · Torpedo				Yes
CUR-21-COH-SIGLO-VI	Cohiba	Siglo	Siglo VI	Cuba	Cuba	Cuba	Cuba wrapper sets top-note, color, and burn for this vitola.	Cuba binder supports structure and integration with the filler.	Cuba filler drives body, strength, and the flavor arc Sterlon should echo.	medium, aromatic, complex, creamy	3	7	9	5.5	54	A.J. Fernandez San Lotano Oval Oval Robusto · 5½ × 54 · Robusto · Medium · Nicaragua · $9 · Notes: cedar, wood, earth, leather	San Lotano Oval robusto — balanced Nicaraguan cedar and pepper in an oval format. Mid-ladder AJ daily driver.	Verified against https://www.habanos.com/en/news/cohiba-siglo-vi-tubos-en/.	Beginner seeking ultra-mild only, or user needs U.S. retail when cigar is island Cuban.	Recommend when the user cites this hall-of-fame stick, Siglo, or asks for a medium creamy reference.	10		5½ × 54 · Robusto				Maybe
CA25-02-COHIBA-AMBAR	Cohiba	The Cohiba Ambar	Ambar	Cuba	Cuba	Cuba	Cuban wrapper supports Cohiba elegance, oak, cream, and luxury aroma.	Cuban binder keeps the puro structure precise and integrated.	Cuban filler provides the Cohiba core, including selected tobacco and extra fermentation character.	oak, caramel, almond, cream, fruit	5	7	13	6	54	Aganorsa Leaf Aniversario Toro · 6 × 54 · Toro · Medium-Full · Nicaragua · $13 · Notes: cedar, baking spice, sweet tobacco, toast	Aganorsa Aniversario toro — celebration corojo with sweet spice and rum-friendly depth. Step up from Signature Selection.	Verified against https://www.cigaraficionado.com/top25cigar/cohiba-ambar-2025.	User wants legal U.S. retail availability, low price, or beginner mildness.	Recommend when the request centers on Cuban prestige, rarity, and polished luxury flavor.	10		6 × 54 · Toro				No
CA25-04-CUESTA-REY-CF	Cuesta-Rey	Centro Fino Sungrown	Pyramid No. 9	Ecuador	Dominican Republic	Dominican Republic	Ecuadorian Sungrown wrapper adds spice, sweetness, and richer color to a Dominican core.	Dominican binder supports Fuente-made construction and steady burn.	Dominican filler keeps the profile rooted in classic Dominican balance with added sungrown force.	honey, nougat, chocolate, cashew	5	4	11.45	6	52	Sancho Panza Belicoso · 6 × 52 · Belicoso · Full · Cuban · — · Notes: cedar, wood, earth, spice	Off-the-beaten-path Cuban belicoso — cedar, wood, and assertive island strength. For experienced smokers exploring beyond the big names.	Verified against https://www.cigaraficionado.com/top25cigar/cuesta-rey-centro-fino-sungrown-pyramid-no-9-2025.	Beginner looking for ultra mild smoke or user dislikes sungrown spice.	Recommend for a Dominican region lesson that is richer than basic foundation cigars.	10		6 × 52 · Belicoso				Maybe
BB25-17-CURI-CT-50	Curivari	Buenaventura Favoritos Connecticut	50	Ecuador Connecticut	Nicaragua	Nicaragua	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, toast, light sweetness	2	3	13	7	48	Macanudo Emissary France · 7 × 48 · Churchill · Medium-Full · Honduras · $13 · Notes: savory tobacco, dark sweetness, spice, wood	Macanudo beyond Cafe — French filler twist, broadleaf binder, and savory depth in a Churchill. Proof the brand can do medium-full.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/curivari-buenaventura-favoritos-connecticut-50-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $5' requests - cite CA 2025 Best Buy list.	10		7 × 48 · Churchill				Yes
BB25-16-CURI-NAT-60	Curivari	Buenaventura Favoritos Natural	60	Nicaragua	Nicaragua	Nicaragua	Nicaragua wrapper sets top-note, color, and burn for this vitola.	Nicaragua binder supports structure and integration with the filler.	Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cedar, wood, earth, leather, mineral tobacco	3	3	16	6	54	La Flor Dominicana 30 Years · 6 × 54 · Chisel · Medium-Full · Dominican · $16 · Notes: pepper, earth, cedar, dark spice	LFD anniversary in the signature Chisel — estate Dominican pepper and earth with craftsmanship flex. Not Double Ligero, still serious.	Flavor chips from CA article https://www.cigaraficionado.com/top25cigar/curivari-buenaventura-favoritos-natural-60-2025.	User wants ultra-premium collector rarity or maximum strength regardless of price.	Recommend for value seekers, humidor fillers, or 'something good under $6' requests - cite CA 2025 Best Buy list.	10		6 × 54 · Chisel				Yes
HTD-09-DAV-ANIV	Davidoff	Aniversario	Varies	Ecuador Connecticut	Dominican Republic	Dominican Republic	Ecuador Connecticut wrapper adds elegance, cream, and refined aromatic top notes.	Dominican binder preserves Davidoff's clean construction and balanced mild character.	Dominican filler offers subtle nuts, cedar, coffee-with-cream, and low-intensity luxury complexity.	cream, cedar, nuts, coffee, light spice	2	6	13	5	52	Drew Estate Liga Privada No. 9 Robusto · 5 × 52 · Robusto · Full · Nicaragua · $13 · Notes: dark chocolate, espresso, earth, leather	The private-blend reference — broadleaf chocolate, espresso, and earthy depth people chase. Benchmark dark smoke for bourbon nights.	Verified against https://www.cigaraficionado.com/ratings/21448/name/davidoff-aniversario-petit-corona.	User equates luxury with full strength, wants pepper-heavy body, or is budget-sensitive.	Recommend to show that prestige can be gentle, refined, and low-intensity.	10		5 × 52 · Robusto				Maybe
CA25-15-DAV-MILLENNIUM	Davidoff	Millennium Blend Series	Piramides	Ecuador	Dominican Republic	Dominican Republic	Proprietary Ecuador wrapper adds cream, spice, and elegant Davidoff polish.	Dominican binder preserves clean construction and balance.	Dominican filler offers refined body, cream, coffee, spice, and luxury restraint.	maple candy, coffee bean, dark chocolate, oak, mocha, baking spice	5	6	5	6.5	42	HVC Hot Cake Golden Line Connecticut · 4 × 44 · Petit Corona · Medium-Light · Nicaragua · $5 · Notes: cream, cedar, nuts, toast	HVC Hot Cake Connecticut half corona - creamy Nicaraguan dessert notes in 30 minutes.	Verified against https://www.cigaraficionado.com/top25cigar/davidoff-millennium-blend-series-piramides-2025.	Budget-sensitive user or someone seeking raw power over elegance.	Recommend when the user wants polished luxury with more body than a mild Davidoff.	10		4 × 44 · Petit Corona				Maybe
CUR-17-DAV-NO2	Davidoff	No. 2	No. 2	Ecuador Connecticut	Dominican Republic	Dominican Republic	Ecuador Connecticut wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, floral, light spice	3	6	6	4	48	Don Diego · 5½ × 44 · Corona · Medium-Light · Dominican · $6 · Notes: cream, cedar, nuts, toast	Don Diego corona - ultra-mild Connecticut Dominican for coffee and beginners. Gentle, reliable value.	Verified against https://www.cigaraficionado.com/ratings/21447/name/davidoff-signature-petit-corona-petit-corona.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, No. 2, or asks for a medium creamy reference.	10		5½ × 44 · Corona				Yes
CUR-09-ZINO-CHUBBY	Davidoff	Zino Platinum Crown Series	Chubby Especial	Ecuador	Dominican Republic	Dominican Republic / Peru / Nicaragua	Ecuador wrapper sets top-note, color, and burn for this vitola.	Dominican Republic binder supports structure and integration with the filler.	Dominican Republic / Peru / Nicaragua filler drives body, strength, and the flavor arc Sterlon should echo.	cream, cedar, nuts, floral, light spice	3	5	7	5	50	H. Upmann Vintage Cameroon Robusto · 5 × 50 · Robusto · Medium · Dominican · $7 · Notes: cedar, baking spice, sweet tobacco, toast	H. Upmann Vintage Cameroon robusto — baking spice, cedar, and sweet tobacco in a budget-friendly Dominican session. Sprint mild choice.	Verified against https://www.cigaraficionado.com/ratings/25542/name/davidoff-signature-petit-corona-petit-corona.	Beginner nicotine-sensitive, opposite wrapper style, or very short time window.	Recommend when the user cites this hall-of-fame stick, Zino Platinum Crown Series, or asks for a medium creamy reference.	10		5 × 50 · Robusto				Yes
